S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
219,SBL,217.00,-2.00,-0.91,219.00,219.90,216.20,"4,896.00",219.00
220,SBLD89,"1,022.80",20.70,2.07,"1,002.80","1,022.80","1,002.80",125.00,"1,002.10"
221,SCB,515.00,0.00,0.00,511.20,523.80,511.20,"4,028.00",515.00
222,SDLBSL,755.00,23.10,3.16,735.00,760.00,735.00,"6,087.00",731.90
223,SEF,7.94,0.14,1.79,7.94,7.94,7.94,"4,000.00",7.80
224,SFCL,313.90,5.90,1.92,313.90,314.00,310.10,"2,165.00",308.00
225,SFEF,7.83,-0.04,-0.51,7.87,7.87,7.75,300.00,7.87
226,SFMF,9.80,0.05,0.51,9.80,9.80,9.80,"8,181.00",9.75
227,SGHC,311.00,-5.00,-1.58,310.00,329.00,309.80,"6,054.00",316.00
228,SGIC,522.30,-3.70,-0.70,526.00,526.00,522.00,"6,561.00",526.00
229,SHEL,191.30,-2.30,-1.19,193.70,195.40,190.00,"4,484.00",193.60
230,SHINE,364.50,-2.00,-0.55,373.80,373.80,363.00,"14,965.00",366.50
231,SHIVM,507.90,-9.10,-1.76,520.00,520.00,502.00,"206,095.00",517.00
232,SHL,437.10,-1.90,-0.43,437.50,440.00,437.00,"7,482.00",439.00
233,SHLB,"1,132.00",82.00,7.81,"1,070.00","1,132.00","1,013.00","6,071.00","1,050.00"
234,SHPC,337.80,-0.10,-0.03,337.80,340.00,337.80,"4,854.00",337.90
235,SICL,687.00,-7.00,-1.01,693.00,695.00,687.00,"3,499.00",694.00
236,SIFC,363.00,7.00,1.97,357.10,363.00,357.10,"2,150.00",356.00
237,SIGS3,8.00,-0.10,-1.23,8.00,8.00,8.00,100.00,8.10
238,SIKLES,503.40,-10.60,-2.06,503.80,510.00,500.00,"2,272.00",514.00
239,SINDU,343.00,2.00,0.59,345.00,358.90,338.00,"2,330.00",341.00
240,SJCL,275.00,-2.70,-0.97,273.40,277.00,273.40,930.00,277.70
241,SJLIC,514.70,-3.30,-0.64,519.80,528.00,511.00,"73,095.00",518.00
242,SKBBL,824.00,2.00,0.24,808.00,827.00,808.00,"5,334.00",822.00
243,SLBBL,689.00,24.00,3.61,665.00,690.00,665.00,"7,575.00",665.00
244,SMATA,739.00,24.00,3.36,716.00,740.00,705.00,"4,987.00",715.00
245,SMB,"1,395.00",75.00,5.68,"1,332.00","1,426.00","1,332.00","1,990.00","1,320.00"
246,SMFBS,"1,219.00",14.00,1.16,"1,205.00","1,224.00","1,155.30","2,885.00","1,205.00"
247,SMH,665.00,5.00,0.76,650.00,677.00,650.00,585.00,660.00
